Professor Name,Professor Profile
Christopher J. Saldaña,"Ring Family Professor, Associate Professor"
Emily Sanders,Assistant Professor
Ian Sargent,Communications Officer I
Louis Satyanarayan,Adjunct Professor
Gregory Sawicki,Associate Professor
Echo Sayr,Grants Administrator Lead
Alfred Schneider,Professor Emeritus
Carolyn Seepersad,Professor
Michael Shannon,Adjunct Assistant Professor
Chengzhi Shi,Assistant Professor
Jianjun (Jan) Shi,Professor
Ankur Singh,Professor
William E. Singhose,Professor
Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor"
Monifa Skelton,Academic Program Manager I
Sterling Skinner,Laboratory Manager II
Vanessa Smet,Assistant Professor
Marc K. Smith,Professor
Angela Lynn Smith,Admin Professional Sr.
David R. Smith,Lecturer
Tiffany Sneeze,Financial Mgr II
Sharon Eve Sonenblum,Principal Research Scientist
Khalid Sorensen,Adjunct Associate Professor
Stephen Sprigle,Professor
Katepalli R. Sreenivasan,Adjunct Professor
"Weston M. Stacey, Jr.",Professor Emeritus
Aaron Stebner,Associate Professor
Angela Stoneham,Sr. Grants Administrator
Todd Sulchek,Professor
Wenting Sun,Assistant Professor
Courtney Sykes,Senior Development Assistant
Yuguo Tao,Senior Research Engineer
Belay Tekeste,Grants Administrator
Naresh N. Thadhani,Professor
Nicole Thomas,Administrative Operations Coordinator
Susan Napier Thomas,"Professor, Woodruff Professor"
Lena H. Ting,Professor
Mike Tinskey,Professor of the Practice
Jacob Tompkins,Mechanical Engineer III
David Torello,Senior Academic Professional
Maegan Tucker,Assistant Professor
Jun Ueda,Professor
Ranjini Unnikrishnan,Application Developer Sr.
Christine Valle,Principal Academic Professional
Raymond P. Vito,Professor Emeritus
Bojan Vukasinovic,Senior Research Engineer
James J. (Joe) Wall,Adjunct Assistant Professor
Yan Wang,Professor
C.-K. Chris Wang,Professor
Amy Wang,"Electrical Engineer III, Electronics Lab"
Huichen Wang,Adjunct Assistant Professor
William J. Wepfer,Professor Emeritus
DeMarlo West,Operations & Program Manager
Jessica Whitaker,Financial Administrator II
Daryll Whitehead,Financial Manager I
Darryl Williams,Building Coordinator II
Ward O. Winer,Regents' Professor Emeritus
Segried Winfrey,Administrative Supervisor
Tameka Womack,Operations and Program Manager
Levi Wood,Associate Professor
Shuman Xia,Associate Professor
Bo Yang,Senior Research Scientist
Xiaofeng Yang,Adjunct Assistant Professor
Yusuf Yaras,Research Engineer II
Arash Yavari,Professor
Shannon Yee,Associate Professor
W. Hong Yeo,Associate Professor
P. K. Yeung,Professor
Svyatoslav Yorish,Research Engineer II
Aaron Young,Associate Professor
Zhuomin Zhang,"J. Erskine Love, Jr. Professor"
Chuck Zhang,Harold E. Smalley Professor
Dingkang Zhang,Senior Research Engineer
Fan Zhang,Assistant Professor
Ye Zhao,Assistant Professor
Min Zhou,Professor
Ji-Xun Zhou,Principal Research Scientist Emeritus
Ting Zhu,Professor
Cheng Zhu,Professor
Ben T. Zinn,Professor Emeritus
