Professor Name,Professor Profile,Faculty
Timothy C. Lieuwen,Professor,Professor
Julie Linsey,Professor,Professor
Peter Loutzenhiser,Professor,Professor
J. Rhett Mayor,Associate Professor,Associate Professor
Anirban Mazumdar,Assistant Professor,Assistant Professor
Ellen Yi Chen Mazumdar,Assistant Professor,Assistant Professor
Matthew McDowell,"Carter N. Paden, Jr. Distinguished Chair, Associate Professor",Associate Professor
Julien Meaud,Associate Professor,Associate Professor
Shreyes N. Melkote,"Morris M. Bryan, Jr. Professor",Professor
Akanksha Menon,Assistant Professor,Assistant Professor
Karthik Menon,Assistant Professor,Assistant Professor
Richard W. Neu,Director of Mechanical Properties Facility,Professor
Bojan Petrovic,Professor,Professor
Olivier Pierron,Professor,Professor
H. Jerry Qi,"Woodruff Professor, Professor",Professor
Farzad Rahnema,Distinguished Professor,Professor
Devesh Ranjan,"Eugene C. Gwaltney, Jr. School Chair",Professor
Karim Sabra,Professor,Professor
Nader Sadegh,Associate Professor,Associate Professor
Sourabh Saha,Assistant Professor,Assistant Professor
Christopher J. Saldaña,Ring Family Professor,Professor
Emily Sanders,Assistant Professor,Assistant Professor
Gregory Sawicki,"Joseph Anderer Faculty Fellow, Professor",Professor
Carolyn Seepersad,Woodruff Professor,Professor
Jianjun (Jan) Shi,Professor,Professor
Ankur Singh,"Carl Ring Family Professor, Professor",Professor
William E. Singhose,Professor,Professor
Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor",Professor
Vanessa Smet,Assistant Professor,Assistant Professor
Marc K. Smith,Professor,Professor
Stephen Sprigle,Professor,Professor
Aaron Stebner,"Eugene C. Gwaltney Jr. Chair in Manufacturing, Professor",Professor
Todd Sulchek,"Professor, Regents’ Innovator",Professor
Wenting Sun,Assistant Professor,Assistant Professor
Naresh N. Thadhani,Professor,Professor
Susan Napier Thomas,"Professor, Woodruff Professor",Professor
Lena H. Ting,Professor,Professor
Maegan Tucker,Assistant Professor,Assistant Professor
Jun Ueda,Professor,Professor
Yan Wang,Professor,Professor
C.-K. Chris Wang,Professor,Professor
Levi Wood,Associate Professor,Associate Professor
Shuman Xia,Associate Professor,Associate Professor
Arash Yavari,Professor,Professor
Shannon Yee,Professor,Professor
W. Hong Yeo,"Harris Saunders, Jr. Professor, Associate Professor",Associate Professor
P. K. Yeung,Professor,Professor
Aaron Young,Associate Professor,Associate Professor
Fan Zhang,Assistant Professor,Assistant Professor
Zhuomin Zhang,"J. Erskine Love, Jr. Professor",Professor
Chuck Zhang,Harold E. Smalley Professor,Professor
Ye Zhao,Assistant Professor,Assistant Professor
Min Zhou,"Carter N. Paden, Jr. Distinguished Chair, George W. Woodruff Professorship, Professor",Professor
Ting Zhu,"Carter N. Paden, Jr. Distinguished Chair, Professor",Professor
Cheng Zhu,Professor,Professor
