Professor Name,Professor Profile
Evgueni Filipov,"Associate Professor, Mechanical Engineering
Associate Professor, Civil and Environmental Engineering"
Theodor Freiheit,"Research Associate Professor, Mechanical Engineering"
Jianping Fu,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Professor, Cell and Developmental Biology"
Vikram Gavini,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Yogesh Gianchandani,"Professor, Mechanical Engineering
Professor, Electrical Engineering and Computer Science"
Brent Gillespie,"Professor, Mechanical Engineering
Professor, Robotics"
Jerard Gordon,"Assistant Professor, Mechanical Engineering"
Nakhiah Goulbourne,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Robert Gregg,"Associate Professor, Mechanical Engineering
Associate Professor, Robotics
Associate Professor, Electrical and Computer Engineering
Associate Director for Graduate Education, Michigan Robotics
Director, Locomotor Control Systems Laboratory"
Karl Grosh,"Professor, Mechanical Engineering
ME Diversity, Equity & Inclusion (DEI) Lead
Professor, Biomedical Engineering Department"
Jay Guo,"Professor, Mechanical Engineering
Professor, Electrical Engineering and Computer Science
Professor, Macromolecular Science and Engineering
Professor, Applied Physics"
"James Holly, Jr.","Assistant Professor, Mechanical Engineering"
Jingwen Hu,"Research Professor, Mechanical Engineering
Research Professor, UMTRI"
Xun (Ryan) Huan,"Associate Professor, Mechanical Engineering"
Art Hyde,"Associate Professor of Engineering Practice, Mechanical Engineering"
Uduak Inyang-Udoh,"Assistant Professor, Mechanical Engineering"
Eric Johnsen,"Professor, Mechanical Engineering"
Massoud Kaviany,"Professor, Mechanical Engineering
Professor, Applied Physics"
Julia Kramer,"Assistant Professor, Mechanical Engineering"
David Kwabi,"Assistant Professor, Mechanical Engineering"
Ronald Larson,"Professor, Mechanical Engineering
Professor, Chemical Engineering
Professor, Macromolecular Science & Engineering
George Granger Brown Professor of Chemical Engineering
A H White Distinguished University Professor of Chemical Engineering"
Xiaogan Liang,"Professor, Mechanical Engineering
Associate Chair for Undergraduate Education, Mechanical Engineering"
Allen Liu,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Professor, Biophysics"
Henry Liu,"Professor, Mechanical Engineering
Professor, Civil & Environmental Engineering"
Wei Lu,"Professor, Mechanical Engineering
ME Associate Chair for Facilities and Planning"
Krishnan Mahesh,"Professor, Mechanical Engineering
Richard B. Couch Professor of Naval Architecture and Marine Engineering
Director Center for Naval Research and Education"
Edgar Meyhofer,"Professor, Mechanical Engineering
Professor, Biomedical Engineering"
Amit Misra,"Professor, Mechanical Engineering
Professor, Materials Science & Engineering
Department Chair, Materials Science & Engineering"
Talia Moore,"Assistant Professor, Mechanical Engineering"
Sungmin Nam,"Assistant Professor, Mechanical Engineering"
Chinedum Okwudire,"Professor, Mechanical Engineering
Professor, Integrative Systems and Design
Miller Faculty Scholar"
Kenn Oldham,"Professor, Mechanical Engineering"
Gabor Orosz,"Professor, Mechanical Engineering
Professor, Civil and Environmental Engineering"
Kevin Pipe,"Professor, Mechanical Engineering
Professor, Applied Physics Program
Professor, Electrical Engineering and Computer Science Department
Associate Dean for Undergraduate Education, College of Engineering"
Bogdan Popa,"Associate Professor, Mechanical Engineering"
Venkat Raman,"Professor, Mechanical Engineering
Professor, Aerospace Engineering"
Pramod Sangi Reddy,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Elliott Rouse,"Associate Professor, Mechanical Engineering"
Kazu Saitou,"Professor, Mechanical Engineering
Associate Chair for Graduate Education, Mechanical Engineering"
Anchal Sareen,"Assistant Professor, Mechanical Engineering
Assistant Professor, Naval Architecture & Marine Engineering"
Chenhui Shao,"Associate Professor, Mechanical Engineering"
Chengzhi Shi,"Associate Professor, Mechanical Engineering"
Albert Shih,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Faculty Member, Institute of Gerontology"
Alex Shorter,"Associate Professor, Mechanical Engineering"
Volker Sick,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
DTE Energy Professor of Advanced Energy Research
Director, Global CO2 Initiative"
Jason Siegel,"Research Associate Professor, Mechanical Engineering"
Kathleen Sienko,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering"
Steve Skerlos,"Professor, Mechanical Engineering
Professor, Civil and Environmental Engineering
Arthur F. Thurnau Professor, Mechanical Engineering"
Anna Stefanopoulou,"Professor, Mechanical Engineering
William Clay Ford Professor of Technology"
Jing Sun,"Professor, Mechanical Engineering
Michael G. Parsons Collegiate Professor of Naval Architecture and Marine Engineering
Chair, Naval Architecture and Marine Engineering"
Sita Syal,"Assistant Professor, Mechanical Engineering"
Wenda Tan,"Associate Professor, Mechanical Engineering"
Jing Tang,"Assistant Professor, Mechanical Engineering"
Alan Taub,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Karen A. Thole,"Robert J Vlasic Dean of Engineering
Professor, Mechanical Engineering
Professor, Aerospace Engineering"
Michael Thouless,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Janine Johnson Weins Professor"
Dawn Tilbury,"Professor, Mechanical Engineering
Professor, Robotics
Professor, Electrical Engineering & Computer Science
Herrick Professor of Engineering"
Serife Tol,"Associate Professor, Mechanical Engineering"
Aaron Towne,"Assistant Professor, Mechanical Engineering"
Jacinto Ulloa,"Assistant Professor, Mechanical Engineering"
Ramanarayan Vasudevan,"Associate Professor, Mechanical Engineering
Associate Professor, Robotics"
Christopher Vermillion,"Associate Professor, Mechanical Engineering"
Hugo Gonzalez Villasanti,"Assistant Professor, Mechanical Engineering"
Angela Violi,"Professor, Mechanical Engineering
Professor, Chemical Engineering
Professor, Biomedical Engineering
Professor, Macromolecular Science and Engineering
Professor, Applied Physics
Professor, Biophysics
Associate Chair for Research
Arthur F. Thurnau Professor, Mechanical Engineering"
Venkat Viswanathan,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Anthony Waas,"Professor, Mechanical Engineering
Felix Pawlowski Collegiate Professor, Aerospace Engineering"
Kon-Well Wang,"Professor, Mechanical Engineering
A. Galip Ulsoy Distinguished University Professor of Engineering
Stephen P. Timoshenko Collegiate Professor of Mechanical Engineering"
Thomas Wang,"Professor, Mechanical Engineering
Professor, Internal Medicine
Professor, Biomedical Engineering"
Margaret Wooldridge,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Walter J. Weber, Jr. Professor of Sustainable Energy, Environmental and Earth Systems Engineering"
Hongyi Xiao,"Assistant Professor, Mechanical Engineering"
Euisik Yoon,"Professor, Mechanical Engineering
Professor, Electrical Engineering & Computer Science
Professor, Biomedical Engineering
Director, NSF International Program for Advancement of Neurotechnology (IPAN)"
Lei Zuo,"Professor, Mechanical Engineering
Professor, Naval Architecture and Marine Engineering"
