Professor Name,Professor Profile
David W. Rosen,Professor Emeritus
Ansley Rowan,Academic Advisor II
Karim Sabra,Professor
Nader Sadegh,Associate Professor
Sourabh Saha,Assistant Professor
Richard F. Salant,Professor Emeritus
Christopher J. Saldaña,"Ring Family Professor, Associate Professor"
Emily Sanders,Assistant Professor
Louis Satyanarayan,Adjunct Professor
Gregory Sawicki,"Joseph Anderer Faculty Fellow, Associate Professor"
Echo Sayr,Grants Administrator Lead
Alfred Schneider,Professor Emeritus
Carolyn Seepersad,Professor
Michael Shannon,Adjunct Assistant Professor
Chengzhi Shi,Assistant Professor
Jianjun (Jan) Shi,Professor
Ankur Singh,Professor
William E. Singhose,Professor
Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor"
Monifa Skelton,Academic Program Manager I
Sterling Skinner,Laboratory Manager II
Vanessa Smet,Assistant Professor
David R. Smith,Lecturer
Angela Lynn Smith,Admin Professional Sr.
Marc K. Smith,Professor
Tiffany Sneeze,Financial Mgr II
Sharon Eve Sonenblum,Principal Research Scientist
Khalid Sorensen,Adjunct Associate Professor
Stephen Sprigle,Professor
Katepalli R. Sreenivasan,Adjunct Professor
"Weston M. Stacey, Jr.",Professor Emeritus
Aaron Stebner,"Eugene C. Gwaltney Jr. Chair in Manufacturing, Associate Professor"
Angela Stoneham,Sr. Grants Administrator
Todd Sulchek,"Professor, Regents’ Innovator"
Wenting Sun,Assistant Professor
Courtney Sykes,Senior Development Assistant
Yuguo Tao,Senior Research Engineer
Belay Tekeste,Grants Administrator
Naresh N. Thadhani,Professor
Nicole Thomas,Administrative Operations Coordinator
Susan Napier Thomas,"Professor, Woodruff Professor"
Lena H. Ting,Professor
Mike Tinskey,Professor of the Practice
Jacob Tompkins,Mechanical Engineer III
David Torello,Senior Academic Professional
Dylan Truong,Mechanical Technician II
Maegan Tucker,Assistant Professor
Jun Ueda,Professor
Ranjini Unnikrishnan,Application Developer Sr.
Christine Valle,Principal Academic Professional
Raymond P. Vito,Professor Emeritus
Bojan Vukasinovic,Senior Research Engineer
James J. (Joe) Wall,Adjunct Assistant Professor
Yan Wang,Professor
C.-K. Chris Wang,Professor
Amy Wang,"Electrical Engineer III, Electronics Lab"
Huichen Wang,Adjunct Assistant Professor
William J. Wepfer,Professor Emeritus
DeMarlo West,Operations & Program Manager
Jessica Whitaker,Financial Administrator II
Daryll Whitehead,Financial Manager I
Darryl Williams,Building Coordinator II
Ward O. Winer,Regents' Professor Emeritus
Segried Winfrey,Administrative Supervisor
Tameka Womack,Operations and Program Manager
Levi Wood,Associate Professor
Shuman Xia,Associate Professor
Xiaofeng Yang,Adjunct Assistant Professor
Bo Yang,Senior Research Scientist
Yusuf Yaras,Research Engineer II
Arash Yavari,Professor
Shannon Yee,Associate Professor
W. Hong Yeo,Associate Professor
P. K. Yeung,Professor
Svyatoslav Yorish,Research Engineer II
Aaron Young,Associate Professor
Chuck Zhang,Harold E. Smalley Professor
Zhuomin Zhang,"J. Erskine Love, Jr. Professor"
Fan Zhang,Assistant Professor
Dingkang Zhang,Senior Research Engineer
Ye Zhao,Assistant Professor
Min Zhou,"Carter N. Paden, Jr. Distinguished Chair, George W. Woodruff Professorship, Professor"
Ji-Xun Zhou,Principal Research Scientist Emeritus
Ting Zhu,"Carter N. Paden, Jr. Distinguished Chair, Professor"
Cheng Zhu,Professor
Ben T. Zinn,Professor Emeritus
